batch,index,url
1.0,0.0,https://farm1.staticflickr.com/675/21480577570_4d62eb9c87_m.jpg
1.0,1.0,https://farm1.staticflickr.com/572/21668470825_b50803409b_m.jpg
1.0,2.0,https://farm6.staticflickr.com/5678/21480556360_459b92bacd_m.jpg
1.0,3.0,https://farm6.staticflickr.com/5835/21657077162_c9040351c8_m.jpg
1.0,4.0,https://farm1.staticflickr.com/716/21677644321_2927760455_m.jpg
1.0,5.0,https://farm1.staticflickr.com/759/21657012292_91eea570c8_m.jpg
1.0,6.0,https://farm6.staticflickr.com/5658/21481505909_0c4fe3d333_m.jpg
1.0,7.0,https://farm6.staticflickr.com/5728/21668308415_b6c822eba3_m.jpg
1.0,8.0,https://farm1.staticflickr.com/567/21642253066_c3d5cd28d0_m.jpg
1.0,9.0,https://farm6.staticflickr.com/5785/21047078203_0205372ba3_m.jpg
1.0,10.0,https://farm6.staticflickr.com/5726/21045332644_b68a30c066_m.jpg
1.0,11.0,https://farm6.staticflickr.com/5835/21667969725_da092f4898_m.jpg
1.0,12.0,https://farm1.staticflickr.com/724/21480996569_072fd99dc5_m.jpg
1.0,13.0,https://farm6.staticflickr.com/5752/21480992569_573e7d162e_m.jpg
1.0,14.0,https://farm6.staticflickr.com/5637/21667713385_557438b35a_m.jpg
1.0,15.0,https://farm1.staticflickr.com/591/21667710475_09257dcf33_m.jpg
1.0,16.0,https://farm6.staticflickr.com/5755/21641589366_e35aa2e165_m.jpg
1.0,17.0,https://farm1.staticflickr.com/660/21656251342_14b89d0d7e_m.jpg
1.0,18.0,https://farm6.staticflickr.com/5799/21044978714_fb7dfd09d5_m.jpg
1.0,19.0,https://farm6.staticflickr.com/5818/21480822909_8a1bebbd19_m.jpg
1.0,20.0,https://farm6.staticflickr.com/5776/21046651443_7da505eaba_m.jpg
1.0,21.0,https://farm6.staticflickr.com/5734/21480816449_ea58dde7f7_m.jpg
1.0,22.0,https://farm6.staticflickr.com/5679/21479605568_8ca885f8b3_m.jpg
1.0,23.0,https://farm1.staticflickr.com/715/21479447900_203224dfe2_m.jpg
1.0,24.0,https://farm1.staticflickr.com/720/21641304616_546f6a3ed0_m.jpg
1.0,25.0,https://farm1.staticflickr.com/567/21046270163_c712f7e025_m.jpg
1.0,26.0,https://farm1.staticflickr.com/671/21676302651_ed6c27ec88_m.jpg
1.0,27.0,https://farm6.staticflickr.com/5819/21479318468_36416d8593_m.jpg
1.0,28.0,https://farm6.staticflickr.com/5630/21640880966_4f5982f4e4_m.jpg
1.0,29.0,https://farm1.staticflickr.com/735/21480108929_7b9bb8a072_m.jpg
1.0,30.0,https://farm6.staticflickr.com/5669/21479072218_53fb792c7e_m.jpg
1.0,31.0,https://farm6.staticflickr.com/5706/21640839596_1bc9b5917f_m.jpg
1.0,32.0,https://farm6.staticflickr.com/5648/21676055031_9a4a1c2602_m.jpg
1.0,33.0,https://farm6.staticflickr.com/5812/21640798146_2347fe7de9_m.jpg
1.0,34.0,https://farm6.staticflickr.com/5784/21044169294_f61582185b_m.jpg
1.0,35.0,https://farm1.staticflickr.com/628/21045833993_ea0e7e932f_m.jpg
1.0,36.0,https://farm1.staticflickr.com/706/21640759526_f73d805ce0_m.jpg
1.0,37.0,https://farm1.staticflickr.com/758/21044132344_3d2e62974e_m.jpg
1.0,38.0,https://farm1.staticflickr.com/769/21675966771_6b0e661e5f_m.jpg
1.0,39.0,https://farm1.staticflickr.com/589/21666753065_483ab83428_m.jpg
1.0,40.0,https://farm1.staticflickr.com/588/21640693116_76b299f621_m.jpg
1.0,41.0,https://farm1.staticflickr.com/584/21478719190_675c3a7620_m.jpg
1.0,42.0,https://farm1.staticflickr.com/648/21675808251_225d3873f4_m.jpg
1.0,43.0,https://farm1.staticflickr.com/753/21479813219_a2faa7b710_m.jpg
1.0,44.0,https://farm1.staticflickr.com/755/21666564065_a2fbd93ae7_m.jpg
1.0,45.0,https://farm6.staticflickr.com/5764/21043912614_90300c09d1_m.jpg
1.0,46.0,https://farm1.staticflickr.com/728/21045593163_3a84e60799_m.jpg
